molecule_chembl_id;canonical_smiles;standard_value;clase;Molecule;num_atoms;heavy_atoms;molecular_weight;log_p
CHEMBL413069;COc1cc(Sc2c(C)[nH]c3ccccc23)cc(OC)c1OC;6800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93854d0>;42;23;329.1085644680005;4.6533200000000035
CHEMBL5171969;CCCCCc1ccc2nc(NC(=O)OC(C)C)[nH]c2c1;6810.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93855b0>;44;21;289.1790269760006;4.252500000000002
CHEMBL3629633;COc1cc(/C=C/C(=O)/C=C/c2cccc3ccccc23)ccc1OCc1cn(CCN2C(=O)C(=O)c3ccccc32)nn1;7160.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385690>;72;44;584.2059699960007;5.544100000000006
CHEMBL48267;Oc1nc(CCc2ccccc2)nc2ccc(Cl)cc12;7300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385770>;33;20;284.0716407160004;3.7740000000000027
CHEMBL277148;Oc1cc(-c2ccccc2)nc2ccccc12;7300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385850>;28;17;221.084063972;3.607400000000002
CHEMBL165020;COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccc(C(=O)c4ccccc4)cc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1;7400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385930>;98;52;710.3203310520013;5.065600000000005
CHEMBL431388;COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1;7413.1;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385a10>;40;22;302.11542367600055;2.952000000000001
CHEMBL386425;COc1ccc(Nc2nc(-n3cc(C)nc3C)cs2)cc1;7500.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385af0>;37;21;300.10448213200044;3.697840000000002
CHEMBL3740269;COc1ccc(/C=C2\Cc3c(cc(OC)c(OC)c3OC)C2=O)cc1O;7560.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385bd0>;46;26;356.1259883600005;3.2490000000000028
CHEMBL2313814;COc1cc(C(=O)c2c(-c3cccc(F)c3)[nH]c3ccccc23)cc(OC)c1OC;7600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385cb0>;50;30;405.13763634000054;5.230800000000004
CHEMBL3800149;COc1cc(/C=C/C(=O)/C=C/c2cccc3ccccc23)ccc1OCc1cn(CCOc2cc(=O)oc3ccccc23)nn1;7650.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385d90>;74;45;599.2056356480007;6.500000000000007
CHEMBL10121;COc1ccc(Cc2cc(OC)c(OC)c(OC)c2)cc1O;7762.47;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385e70>;42;22;304.13107374000055;3.0174000000000016
CHEMBL1098730;COc1ccc(/C=C/c2cc(OC)c(OC)c(OC)c2)cc1B(O)O;7800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385f50>;46;25;344.14311879200056;1.5712000000000002
CHEMBL45348;COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1;7943.28;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386030>;44;22;302.1518091840006;3.5062000000000024
CHEMBL213044;COc1ccc(Nc2nc(-n3ccnc3C)cs2)cc1;8000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386110>;34;20;286.0888320680004;3.389420000000001
CHEMBL196832;COc1cc(C2C(C#N)=C(N)Oc3cc(N(C)C)ccc32)cc(Br)c1OC;8000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93861f0>;47;27;429.06880360000054;3.7504800000000023
CHEMBL214706;CC[C@@]1(C)Oc2cc(ccc2O)[C@@H](O)[C@H](NC)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)NCC(=O)O;8200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93862d0>;63;33;466.2063639200008;-1.2349999999999965
CHEMBL3597203;COc1ccc2[nH]c(-c3ccccc3)c(C(=O)c3cc(OC)c(OC)c(OC)c3)c2c1;8300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93863b0>;54;31;417.1576228360006;5.100300000000004
CHEMBL286404;COC(=O)c1[nH]c2ccccc2c1Sc1ccccc1;8300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386490>;33;20;283.06669965600037;4.105700000000002
CHEMBL208189;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NCC(C)=O)CC2;8300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386570>;57;30;413.18383758400074;2.9141000000000012
CHEMBL4865690;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OCc1ccc(C(=O)NO)cc1;8600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386650>;61;34;465.1787522040007;4.589400000000003
CHEMBL3741225;COc1ccc(/C=C2\Cc3c(cc(OC)c(OC)c3OC)C2=O)cc1N;8640.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386730>;47;26;355.1419727720006;3.1256000000000013
CHEMBL315541;COc1cccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c1;8709.64;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386810>;42;22;300.13615912000057;3.8914000000000026
CHEMBL3318088;COc1cc(C(=O)c2ccn(-c3ccccc3Cl)c2)cc(OC)c1OC;8800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93868f0>;44;26;371.0924357360004;4.387500000000005
CHEMBL382359;c1cncc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1;8800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93869d0>;45;29;388.12838837200036;3.6110000000000015
CHEMBL5186583;CCc1nnc2c(Nc3ccc(C(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)cc3)nc3ccccc3n12;8840.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386ab0>;65;38;509.2063043440007;5.505400000000005
CHEMBL3318097;COc1cc(C(=O)c2ccn(-c3cccc([N+](=O)[O-])c3)c2)cc(OC)c1OC;8900.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386b90>;46;28;382.11648629600046;3.6423000000000023
CHEMBL3331202;CC(=O)n1c2ccccc2c2cc(-c3ccc4ccccc4c3)nnc21;8910.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386ce0>;41;26;337.1215121000005;5.064800000000004
CHEMBL2299097;COc1ccc(NCc2cc(OC)c(OC)c(OC)c2)cc1O.Cl;8912.51;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386dc0>;46;24;355.11865048400057;3.4605000000000024
CHEMBL323820;COc1cnc(/C=C\c2cc(OC)c(OC)c(OC)c2)cn1;8912.51;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386ea0>;40;22;302.1266570560005;2.681400000000001
CHEMBL3740121;COc1ccc(/C=C2\Cc3c(cc(OC)c(OC)c3OC)C2=O)cc1F;8920.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9386f80>;45;26;358.1216519280005;3.6825000000000028
CHEMBL3331203;CC(=O)n1c2ccccc2c2cc(-c3cccc4ccccc34)nnc21;8970.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387060>;41;26;337.1215121000005;5.064800000000004
CHEMBL2313486;COc1cc(C(O)c2c(-c3ccn(S(=O)(=O)c4ccccc4)c3)[nH]c3ccccc23)cc(OC)c1OC;9000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93871b0>;63;37;518.1511575520007;4.9809000000000045
CHEMBL3410880;COc1ccc2c(c1)NC(=O)CN=C2c1cc(OC)c(OC)c(OC)c1;9000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387290>;46;26;356.13722174000054;2.5105000000000004
CHEMBL3742316;COc1ccc(/C=C2\Cc3c(cc(OC)c(OC)c3OC)C2=O)cc1Br;9050.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387370>;45;26;418.0415858080005;4.305900000000004
CHEMBL2313802;COc1cc(Cc2c(C3=NCCO3)[nH]c3ccccc23)cc(OC)c1OC;9400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387450>;49;27;366.15795718400057;3.561300000000002
CHEMBL4762066;COc1ccc(C(=O)Cn2nc(-c3cc(OC)c(OC)c(OC)c3)nc2N)cc1;9400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387530>;51;29;398.15901980400065;2.4446000000000003
CHEMBL229510;Cc1cc(C)cc(Sc2c[nH]c3ccc(Cl)cc23)c1;9400.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9387610>;33;19;287.0535481280004;5.589340000000003
