molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL3263404;COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)/C=C/c1ccc(C(F)(F)F)cc1;700.0;intermediate
CHEMBL4443886;COc1cc(C(=O)c2cn(-c3ccc(N)cc3)cc2-c2ccccc2Cl)cc(OC)c1OC;710.0;intermediate
CHEMBL4586221;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ccccc2Cl)cc(OC)c1OC;710.0;intermediate
CHEMBL4569885;COc1cc(Nc2ncnc3cc(-c4ccc(C)cc4)sc23)cc(OC)c1OC;710.0;intermediate
CHEMBL4543075;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;710.0;intermediate
CHEMBL4464333;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2cccc([N+](=O)[O-])c2)cc(OC)c1OC;710.0;intermediate
CHEMBL4863951;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ncco2)cc(OC)c1OC;720.0;intermediate
CHEMBL234244;COc1ccc(-c2snnc2-c2cc(OC)c(OC)c(OC)c2)cc1OC;720.0;intermediate
CHEMBL89138;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;720.0;intermediate
CHEMBL4868699;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2ncco2)cc(OC)c1OC;720.0;intermediate
CHEMBL4438426;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;730.0;intermediate
CHEMBL4870805;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2cccnc2)cc(OC)c1OC;740.0;intermediate
CHEMBL1940258;COc1cc(Sc2c(-c3cccs3)[nH]c3ccccc23)cc(OC)c1OC;740.0;intermediate
CHEMBL4866837;COc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1F;740.0;intermediate
CHEMBL22969;CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1;740.0;intermediate
CHEMBL299279;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\c1csc([C@@H]2C[C@@H]2C)n1)OC;740.0;intermediate
CHEMBL212832;COc1ccc(Nc2nc(-n3c(C)nc4ccccc43)cs2)cc1;750.0;intermediate
CHEMBL176684;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](O)CC2;750.0;intermediate
CHEMBL385659;Cc1ccc(Nc2nc(-n3ccnc3C)cs2)cc1;750.0;intermediate
CHEMBL368737;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(=O)CC2;760.0;intermediate
CHEMBL4294343;COc1cc(C(=O)c2c[nH]c3cc(-c4ccco4)ccc23)cc(OC)c1OC;760.0;intermediate
CHEMBL9514;COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1;760.0;intermediate
CHEMBL49518;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1cccnc1)CC2;760.0;intermediate
CHEMBL3126926;COc1ccc2c(c1)NC(=O)CN2c1nc(C)nc2ccccc12;770.0;intermediate
CHEMBL2369032;C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@H]2C[C@@H]2C)=N1)OC;770.0;intermediate
